Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Edition;Titre du projet lauréat;Thématique;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet
3445;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002730;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3445&portlet_id=158;2017;Piétonnisation et mise en valeur de la rue du Gros Caillou;Cadre de vie;Direction de la Voirie et des Déplacements;14000;Budget participatif d’arrondissement;rue du Gros Caillou;75007;Non;FIN;;;2019-07;2019-08;2019-09;
3585;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001775;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3585&portlet_id=158;2017;Mise en valeur de l'entrée des Arènes de Lutèce 49 rue Monge;Culture et patrimoine;Direction des Affaires Culturelles;24000;Budget participatif d’arrondissement;49 Rue Monge;75005;Non;PROCEDURES;2018-03;2020-09;;;;
3613;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002162;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3613&portlet_id=158;2017;Solidarité : du matériel pour accompagner l’accueil des personnes sans-abri ou en grande précarité;Solidarités;;20000;Budget participatif d’arrondissement;12 Boulevard Poniatowski;75012;Non;FIN;2018-06;2019-02;;;2019-12;
3355;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002311;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3355&portlet_id=158;2017;Embellir, végétaliser : extension du square Aspirant Dunand vers la place Gilbert-Perroy;Cadre de vie;Direction des Espaces Verts et de l’Environnement;625000;Budget participatif d’arrondissement;SQUARE DE L'ASPIRANT DUNAND;75014;Non;FIN;2017-11;2018-11;2020-01;2020-08;2020-08;
3362;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002702;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3362&portlet_id=158;2017;Favoriser la mobilité et l’orientation de tous les piétons par une signalisation innovante Porte de Vanves;Cadre de vie;Direction de la Voirie et des Déplacements;200000;Budget participatif d’arrondissement;place de la Porte de Vanves;75014;Oui;TRAVAUX;2018-06;2018-06;2019-06;2024-12;;
3611;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002076;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3611&portlet_id=158;2017;IoTreize : le 13e intelligent grâce aux objets connectés;Attractivité et emploi;;50000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Non;ETUDES;2018-06;;;;;
3436;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002674;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3436&portlet_id=158;2017;Pour que revive la rue Saint-Martin;Cadre de vie;Direction de la Voirie et des Déplacements;780000;Budget participatif d’arrondissement;rue saint martin;75123;Non;ETUDES;2019-10;;;2026-12;;
2886;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003681;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2886&portlet_id=158;2016;Réaménager des trottoirs des quartiers Pont de Flandre et Flandre-Aubervilliers;Cadre de vie;Direction de la Voirie et des Déplacements;400000;Budget participatif d’arrondissement;5-7 Place Armand Carrel;75019;Oui;FIN;2017-05;;2019-07;2019-08;2020-10;
3653;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002668;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3653&portlet_id=158;2017;Rénover/ améliorer la protection thermique des écoles;Education et jeunesse;Direction des Affaires Scolaires;750000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Oui;FIN;2018-01;2018-03;2018-07;2019-03;2020-09;
6051;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000489;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6051&portlet_id=158;2018;Une nouvelle halle alimentaire dans le 15e;Solidarités;Direction de l’Attractivité et de l’Emploi;200000;Budget participatif d’arrondissement;Rue des Périchaux;75015;Oui;LIVRAISON;2018-01;;;2020-12;;
6191;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001290;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6191&portlet_id=158;2018;Un lieu de spectacle pour les écoles;Culture et patrimoine;Direction des Affaires Culturelles;1450000;Budget participatif d’arrondissement;56 rue des Cendriers;75020;Oui;PROCEDURES;2019-02;2019-03;2024-06;2024-09;;
